exper_data_id	pop_label	data_group_name	data_id	date_str	time_str	exper_duration_s	trackL	n_tracks	mean_nb_tracks	logD	temperature	rel_humidity	location_label	env_label	T12	T13	T21	T23	T31	T32	mean_still	mean_forward	mean_backward
B206-20180608_160643_proc	N2250L502	B206	N2250L502_NGM_B206	20180608	160643	1197.766	221.252001524971	8775	1620.92287924488	3.20976235234688	28.5	47	Paris2	NGM	-1.61192786074091	-2.2285094030034	-1.80721612894817	-3.83348565518704	-0.805167966472778	-1.60208881133131	-1.15340006199475	0.774985369955936	-2.50464681030923
B206-20180608_162718_proc	N2250L507	B206	N2250L507_NGM_B206	20180608	162718	1262.27	285.218304576144	3763	850.274885816846	2.92955935170711	28.7	47	Paris2	NGM	-1.56772948548944	-2.32056572089704	-1.48572749496163	-4.26379624096437	-0.0988151359791733	-1.42885808003176	-0.971486291718678	0.814518724854643	-3.398445955516
B206-20180608_164851_proc	PBancL0	B206	PBancL0_NGM_B206	20180608	164851	1297.676	291.815358067299	2564	576.580423838119	2.76085989305842	29.3	45	Paris2	NGM	-1.07674506375214	-1.82940073282388	-0.950429818777203	-4.13523406530167	0.252833116562135	-2.07574349654926	-0.938243808775286	0.71001718709686	-2.9799523440061
B207-20180611_111428_proc	PB250L455	B207	PB250L455_NGM_B207	20180611	111428	1197.574	171.997215454229	7650	1098.70346068373	3.04088049245378	27.8	52	Paris2	NGM	-0.84967102290723	-1.63699988330097	-1.71901113262071	-4.76352590058951	-0.514161320323901	-1.83269575711338	-1.60053683951833	1.26508544473313	-2.89920036497857
B207-20180611_113457_proc	N2250L587	B207	N2250L587_NGM_B207	20180611	113457	1157.732	245.151058631922	5730	1213.33397190448	3.0839803574963	27.8	52	Paris2	NGM	-1.34868717777284	-2.04966508761404	-1.43111951914173	-5.16957618515715	-0.455724086721595	-2.71217160560729	-0.89168549781922	0.612575914875889	-2.73902112494103
B207-20180611_115445_proc	N2250L523	B207	N2250L523_NGM_B207	20180611	115445	1248.319	315.173525037184	6270	1583.03927280058	3.19949168918264	27.9	52	Paris2	NGM	-1.67747637023612	-2.35132804702187	-1.36984154955065	-5.0981919047466	-0.540286759535749	-2.92249041795816	-0.536993872205752	0.281892670732002	-2.73215069248173
B207-20180611_121601_proc	N2250L520	B207	N2250L520_NGM_B207	20180611	121601	1207.908	227.332693691533	10195	1918.73620522852	3.28301527046834	27.9	52	Paris2	NGM	-1.26569138874893	-1.6634552371982	-1.45324225270278	-3.6040817234391	-0.746609461058441	-1.41412905600525	-1.07089264508105	0.599245313914942	-2.20521666309408
B207-20180611_123635_proc	PB250L486	B207	PB250L486_NGM_B207	20180611	123635	1198.263	145.493294671983	7768	943.191864400354	2.97460004605091	27.8	52	Paris2	NGM	-0.548678692288575	-1.29874497468976	-1.9046267605104	-5.2123002013517	-0.162979534477129	-2.07732662719879	-2.0251476501227	1.71957070183491	-3.30679816432122
B207-20180611_125657_proc	PB250L492	B207	PB250L492_NGM_B207	20180611	125657	1197.134	202.951431049436	4965	841.721858338708	2.92516860534226	27.7	53	Paris2	NGM	-0.77392699879532	-1.51288307794295	-1.8754185610253	-5.72147300331147	-0.0838355037876866	-2.84281916048201	-1.85643290865397	1.58995427516216	-3.33858486883346
B207-20180611_131721_proc	N2250L531	B207	N2250L531_NGM_B207	20180611	131721	1295.56	748.069293478261	1401	808.951403380039	2.90792243276455	27.8	53	Paris2	NGM	-1.23082062299317	-1.88272730420744	-0.518334963669114	-6.76089201597071	-0.139122706466681	-5.37973790353733	-0.16098316563453	-0.19586429905744	-2.32628605347617
